,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,Buchanan,Pierce,500,247901,7,5
,Hayes,Lincoln,1000,218701,7,6
,Arthur,Garfield,500,309801,7,2
,Harrison,Johnson,4000,309801,10,3
,総取引における距離の平均,1600.0,合算地,16000,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,8.0
,売りたい家の数,6,買いたい家の数,6,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Truman,1000,158801,5,3
,Reagan,Arthur,2500,69801,4,6
,Taft,Nixson,500,193301,5,2
,Ford,Clinton,2500,115201,3,4
,Washington,Hayes,3000,97001,2,5
,Taylor,Johnson,2500,264800,6,1
,総取引における距離の平均,2000.0,合算地,12000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,4.0
,売りたい家の数,4,買いたい家の数,6,
,売れた家の数,4,買えた家の数,4,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Nixson,Reagan,1500,309801,3,2
,Truman,Ford,500,257501,2,3
,Obama,Cleveland,1500,45801,1,4
,Polk,Eisenhower,2500,336000,4,1
,総取引における距離の平均,1500.0,合算地,6000,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,3,買いたい家の数,3,
,売れた家の数,3,買えた家の数,3,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Jackson,4000,245001,2,1
,Adams,Polk,2000,232701,2,2
,総取引における距離の平均,3000.0,合算地,6000,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,9,買いたい家の数,5,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Roosevelt,Fillmore,2000,108001,4,4
,Jackson,Lincoln,1000,198001,3,3
,Tyler,Garfield,1000,312801,2,1
,Pierce,Mckinley,2500,309801,5,2
,総取引における距離の平均,1625.0,合算地,6500,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,3.0
,売りたい家の数,13,買いたい家の数,10,
,売れた家の数,10,買えた家の数,10,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Obama,1500,94401,10,6
,Madison,Clinton,2500,26401,9,10
,Fillmore,Coolidge,500,168001,8,4
,Lincoln,Monroe,500,108001,8,5
,Grant,Pierce,1500,74801,8,7
,Hayes,Buchanan,1500,218701,7,3
,Garfield,Harrison,1500,33801,7,8
,Arthur,Adams,2000,309801,7,1
,Cleveland,Carter,2000,33801,10,9
,Mckinley,Tyler,2000,302401,4,2
,総取引における距離の平均,1550.0,合算地,15500,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,7.0
,売りたい家の数,13,買いたい家の数,8,
,売れた家の数,8,買えた家の数,8,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Grant,4000,158801,8,6
,Hoover,Jefferson,1500,257501,8,4
,Carter,Madison,500,302401,6,3
,Clinton,Buren,2000,348001,5,1
,Coolidge,Taylor,3000,74801,7,8
,Monroe,Hayes,1500,108001,5,7
,Buchanan,Arthur,3500,247901,1,5
,Harrison,Ford,2000,309800,8,2
,総取引における距離の平均,2250.0,合算地,18000,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,6.0
,売りたい家の数,7,買いたい家の数,8,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Truman,Bush,1500,257501,7,3
,Ford,Kennedy,1500,115201,6,4
,Washington,Taft,2500,97001,7,5
,Jefferson,Nixson,2500,45801,6,7
,Polk,Roosevelt,3000,336001,6,1
,Buren,Hoover,1500,94401,3,6
,Taylor,Eisenhower,2000,264800,7,2
,総取引における距離の平均,2071.0,合算地,14500,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,6.0
,売りたい家の数,5,買いたい家の数,3,
,売れた家の数,3,買えた家の数,3,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Bush,Washington,2000,108001,2,3
,Nixson,Polk,1000,309801,1,1
,Taft,Adams,1500,193300,3,2
,総取引における距離の平均,1500.0,合算地,4500,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,3,買いたい家の数,2,
,売れた家の数,2,買えた家の数,2,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Jackson,4000,245001,1,1
,総取引における距離の平均,4000.0,合算地,4000,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,9,買いたい家の数,6,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Roosevelt,Arthur,3000,108001,5,5
,Obama,Tyler,500,45801,6,6
,Adams,Lincoln,1000,232701,4,2
,Jackson,Hayes,1000,198001,3,3
,Fillmore,Cleveland,500,168001,4,4
,Pierce,Madison,1000,309800,3,1
,総取引における距離の平均,1166.0,合算地,7000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,4.0
,売りたい家の数,14,買いたい家の数,10,
,売れた家の数,10,買えた家の数,10,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Reagan,Carter,1000,2,10,10
,Clinton,Truman,3000,2,10,8
,Madison,Obama,2000,2,8,2
,Tyler,Coolidge,1000,2,7,2
,Buchanan,Monroe,1000,2,8,8
,Lincoln,Fillmore,2000,2,5,4
,Hayes,Pierce,2000,2,4,5
,Arthur,Grant,2500,2,3,6
,Cleveland,Garfield,1000,2,2,7
,Harrison,Mckinley,500,2,6,9
,総取引における距離の平均,1600.0,合算地,16000,何番目に好きな人に売れたの平均,6.0,何番目に好きな人から買えたの平均,6.0
,売りたい家の数,11,買いたい家の数,10,
,売れた家の数,10,買えた家の数,10,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Roosevelt,1500,2,10,10
,Carter,Eisenhower,2000,2,10,2
,Coolidge,Reagan,1000,2,8,2
,Washington,Taylor,500,2,10,8
,Jefferson,Hoover,1500,2,8,10
,Monroe,Ford,1500,2,6,3
,Buren,Clinton,2000,2,7,9
,Grant,Polk,2500,2,4,4
,Garfield,Buchanan,4000,2,2,5
,Mckinley,Harrison,500,2,1,6
,総取引における距離の平均,1700.0,合算地,17000,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,6.0
