,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,総取引における距離の平均,2000.0,合算地,20000,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,7.0
,売りたい家の数,14,買いたい家の数,11,
,売れた家の数,11,買えた家の数,11,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Roosevelt,Ford,1000,108001,11,8
,Carter,Jefferson,1000,302401,11,3
,Coolidge,Obama,500,74801,11,9
,Madison,Taft,1500,26401,10,11
,Jackson,Clinton,2500,198001,11,5
,Tyler,Adams,1500,312801,8,1
,Fillmore,Pierce,3000,168001,10,6
,Taylor,Polk,4500,264801,8,4
,Lincoln,Washington,2000,108001,10,8
,Garfield,Mckinley,2000,33801,3,10
,Arthur,Reagan,2500,309800,11,2
,総取引における距離の平均,2000.0,合算地,22000,何番目に好きな人に売れたの平均,6.0,何番目に好きな人から買えたの平均,9.0
,売りたい家の数,8,買いたい家の数,7,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Truman,1500,245001,7,3
,Taft,Bush,500,193301,6,5
,Ford,Roosevelt,1000,115201,5,6
,Clinton,Nixson,500,348001,4,1
,Adams,Carter,500,232701,3,4
,Jefferson,Tyler,3000,45801,4,7
,Pierce,Kennedy,2500,309800,7,2
,総取引における距離の平均,1357.0,合算地,9500,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,5.0
,売りたい家の数,4,買いたい家の数,2,
,売れた家の数,2,買えた家の数,2,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Nixson,Grant,3500,309801,1,1
,総取引における距離の平均,3500.0,合算地,3500,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,7,買いたい家の数,2,
,売れた家の数,2,買えた家の数,2,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Truman,Buren,2000,257501,1,1
,総取引における距離の平均,2000.0,合算地,2000,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,9,買いたい家の数,6,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Mckinley,4000,94401,6,5
,Bush,Monroe,2500,108001,6,2
,Washington,Cleveland,3500,97001,5,3
,Buren,Obama,1500,94401,3,4
,Grant,Buchanan,1000,74801,3,6
,Harrison,Polk,2000,309801,5,1
,総取引における距離の平均,2416.0,合算地,14500,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,4.0
,売りたい家の数,14,買いたい家の数,6,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Obama,Taylor,3500,45801,6,5
,Monroe,Washington,1500,108001,6,4
,Polk,Lincoln,3000,336001,3,1
,Buchanan,Arthur,3500,247901,2,3
,Cleveland,Harrison,500,33801,5,6
,Mckinley,Coolidge,2000,302400,6,2
,総取引における距離の平均,2333.0,合算地,14000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,4.0
,売りたい家の数,14,買いたい家の数,9,
,売れた家の数,9,買えた家の数,9,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Ford,Taft,1500,115201,9,5
,Coolidge,Adams,500,74801,8,7
,Madison,Hoover,1000,26401,7,9
,Jackson,Carter,1500,198001,6,4
,Tyler,Clinton,1000,312801,5,1
,Taylor,Jefferson,1000,264801,3,3
,Lincoln,Pierce,1000,108001,2,6
,Garfield,Hayes,2500,33801,3,8
,Arthur,Reagan,2500,309800,9,2
,総取引における距離の平均,1388.0,合算地,12500,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,5.0
,売りたい家の数,10,買いたい家の数,11,
,売れた家の数,10,買えた家の数,10,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Reagan,Eisenhower,1000,69801,9,9
,Taft,Kennedy,1000,193301,8,7
,Hoover,Bush,1000,257501,7,4
,Carter,Nixson,1500,302401,6,3
,Clinton,Ford,2500,348001,5,1
,Adams,Madison,1000,232701,4,5
,Jefferson,Jackson,1500,45801,4,10
,Fillmore,Garfield,1500,168001,7,8
,Pierce,Tyler,3500,309801,2,2
,Hayes,Johnson,5000,218700,10,6
,総取引における距離の平均,1950.0,合算地,19500,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,6.0
,売りたい家の数,3,買いたい家の数,3,
,売れた家の数,3,買えた家の数,3,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Fillmore,3000,245001,2,2
,Eisenhower,Truman,1000,158801,2,3
,Nixson,Roosevelt,2000,309800,3,1
,総取引における距離の平均,2000.0,合算地,6000,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,5,買いたい家の数,5,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Bush,500,94401,5,4
,Roosevelt,Eisenhower,500,108001,4,2
,Truman,Washington,500,257501,2,1
,Buren,Johnson,3500,94401,5,3
,Grant,Harrison,1500,74801,1,5
,総取引における距離の平均,1300.0,合算地,6500,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,3.0
,売りたい家の数,7,買いたい家の数,5,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Bush,Polk,2000,2,4,5
,Washington,Monroe,1500,2,5,2
,Buchanan,Buren,2000,2,4,4
,Harrison,Grant,1500,2,2,3
,Mckinley,Cleveland,1000,2,1,5
,総取引における距離の平均,1600.0,合算地,8000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,3.0
,売りたい家の数,10,買いたい家の数,5,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Monroe,Buchanan,1000,2,4,5
,Jackson,Mckinley,500,2,5,5
,Polk,Taylor,4500,2,5,2
,Lincoln,Arthur,3000,2,3,5
,Cleveland,Garfield,1000,2,3,3
,総取引における距離の平均,2000.0,合算地,10000,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,4.0
