,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,総取引における距離の平均,1909.0,合算地,21000,何番目に好きな人に売れたの平均,6.0,何番目に好きな人から買えたの平均,7.0
,売りたい家の数,8,買いたい家の数,8,
,売れた家の数,8,買えた家の数,8,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Truman,1500,245001,8,1
,Eisenhower,Ford,1500,158801,6,5
,Bush,Carter,1500,108001,5,6
,Adams,Obama,1000,232701,4,2
,Washington,Jefferson,500,97001,4,7
,Jackson,Taylor,2500,198001,2,3
,Fillmore,Polk,1000,168001,1,4
,総取引における距離の平均,1357.0,合算地,9500,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,4.0
,売りたい家の数,5,買いたい家の数,3,
,売れた家の数,3,買えた家の数,3,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Roosevelt,Garfield,3500,108001,3,2
,Carter,Madison,500,302401,3,1
,総取引における距離の平均,2000.0,合算地,4000,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,3.0
,売りたい家の数,6,買いたい家の数,5,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Obama,Coolidge,500,45801,5,3
,Madison,Reagan,1500,26401,5,5
,Tyler,Nixson,1500,312801,2,1
,Grant,Clinton,3000,74801,3,2
,Garfield,Roosevelt,3500,33800,1,4
,総取引における距離の平均,2000.0,合算地,10000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,3.0
,売りたい家の数,8,買いたい家の数,5,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Grant,4000,94401,5,3
,Reagan,Hayes,3500,69801,4,5
,Clinton,Buchanan,3000,348001,4,1
,Coolidge,Mckinley,2000,74801,2,4
,Lincoln,Tyler,2500,108000,5,2
,総取引における距離の平均,3000.0,合算地,15000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,4.0
,売りたい家の数,12,買いたい家の数,5,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Taft,Cleveland,2000,193301,4,5
,Buchanan,Pierce,500,247901,4,3
,Hayes,Lincoln,1000,218701,3,4
,Arthur,Harrison,1000,309801,4,1
,Mckinley,Taylor,3000,302400,5,2
,総取引における距離の平均,1500.0,合算地,7500,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,4.0
,売りたい家の数,11,買いたい家の数,6,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Bush,Jefferson,1500,108001,5,5
,Polk,Monroe,2500,336001,4,1
,Taylor,Jackson,2500,264801,3,4
,Pierce,Buren,2500,309801,2,2
,Cleveland,Arthur,500,33801,1,6
,Harrison,Truman,2500,309801,6,3
,総取引における距離の平均,2000.0,合算地,12000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,3.0
,売りたい家の数,7,買いたい家の数,10,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Truman,Kennedy,2000,257501,6,2
,Carter,Bush,1500,302401,7,1
,Adams,Taft,1500,232701,5,3
,Jefferson,Ford,500,45801,5,7
,Monroe,Polk,2500,108001,4,5
,Jackson,Fillmore,1000,198001,1,4
,Buren,Johnson,3500,94400,3,6
,総取引における距離の平均,1785.0,合算地,12500,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,4.0
,売りたい家の数,7,買いたい家の数,4,
,売れた家の数,4,買えた家の数,4,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Roosevelt,Tyler,2500,108001,4,3
,Ford,Adams,1000,115201,3,2
,Fillmore,Grant,1500,168001,1,1
,総取引における距離の平均,1666.0,合算地,5000,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,7,買いたい家の数,8,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Nixson,Kennedy,500,309801,7,3
,Clinton,Roosevelt,2500,348001,7,1
,Washington,Hoover,2000,97001,6,4
,Madison,Reagan,1500,26401,6,7
,Tyler,Carter,2000,312801,2,2
,Grant,Obama,2500,74801,1,5
,Garfield,Johnson,2500,33800,2,6
,総取引における距離の平均,1928.0,合算地,13500,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,4.0
,売りたい家の数,8,買いたい家の数,8,
,売れた家の数,8,買えた家の数,8,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Taft,1500,245001,7,4
,Eisenhower,Coolidge,2000,158801,6,5
,Kennedy,Clinton,1000,94401,6,6
,Reagan,Washington,1500,69801,6,7
,Hoover,Madison,1000,257501,3,3
,Obama,Garfield,1500,45801,5,8
,Arthur,Hayes,2000,309801,4,1
,Mckinley,Nixson,3500,302400,5,2
,総取引における距離の平均,1750.0,合算地,14000,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,5.0
,売りたい家の数,7,買いたい家の数,3,
,売れた家の数,3,買えた家の数,3,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Taft,Cleveland,2000,2,2,3
,Coolidge,Arthur,1500,2,3,2
,Hayes,Mckinley,500,2,1,3
,総取引における距離の平均,1333.0,合算地,4000,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,6,買いたい家の数,7,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Carter,Pierce,1500,2,5,6
,Polk,Eisenhower,2500,2,6,5
,Buren,Jefferson,2000,2,6,2
,Taylor,Jackson,2500,2,3,4
,Buchanan,Lincoln,500,2,2,5
,Cleveland,Adams,1500,2,5,1
,総取引における距離の平均,1750.0,合算地,10500,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,4.0
